name_ja,name_en,lat,lng,elevation,area_id,prefecture_id
沓形登山口,"",45.1770,141.1380,35,1,1
羅臼温泉野営場登山口,"",44.0750,145.1220,390,1,1
斜里岳神社登山口,"",43.7656,144.7178,670,1,1
雌阿寒温泉登山口,"",43.3930,144.0110,690,3,1
姿見駅登山口,"",43.6640,142.8540,1600,3,1
トムラウシ短縮登山口,"",43.5272,142.8489,1260,3,1
吹上温泉登山口,"",43.4370,142.6380,1050,3,1
チロロ林道登山口,"",42.7194,142.6828,620,3,1
比羅夫登山口,"",42.8267,140.8114,310,2,1
百沢登山口,"",40.6558,140.3031,250,4,2
八甲田ロープウェー山頂公園駅登山口,"",40.6589,140.8772,1320,4,2
八幡平山頂レストハウス登山口,"",39.9578,140.8542,1540,5,3
焼走り登山口,"",39.8800,141.0800,640,5,3
小田越登山口,"",39.5586,141.4886,1260,5,3
鉾立登山口,"",39.0992,140.0489,1150,8,5
姥沢登山口,"",38.5489,140.0269,1170,8,6
泡滝登山口,"",38.2606,139.9222,430,9,6
蔵王温泉登山口,"",38.1660,140.3910,880,7,6
御沢登山口,"",37.8547,139.7072,640,10,6
白布温泉登山口,"",37.7740,140.1290,850,11,6
沼尻登山口,"",37.6180,140.2550,1170,11,7
翁島登山口,"",37.5870,140.0810,540,11,7
滝沢登山口,"",37.0475,139.3536,1120,14,7
大丸温泉登山口,"",37.1290,139.9720,1280,12,9
駒ノ湯登山口,"",37.1120,139.0550,900,15,15
鷹ノ巣登山口,"",37.0019,139.1708,820,15,15
清水登山口,"",36.9786,138.9642,720,15,15
御池登山口,"",36.9570,139.2830,1510,14,7
山ノ鼻登山口,"",36.9010,139.2030,1400,14,10
天神平登山口,"",36.8330,138.9330,1310,16,10
小谷温泉登山口,"",36.9019,137.9625,820,18,20
祓川登山口,"",36.8460,138.6903,980,16,15
燕温泉登山口,"",36.8914,138.1136,1150,18,15
笹ヶ峰登山口,"",36.9228,138.0681,1300,18,15
戸隠牧場登山口,"",36.8000,138.0519,1190,18,20
二荒山神社中宮祠登山口,"",36.7650,139.4908,1280,13,9
丸沼高原登山口,"",36.7986,139.3758,1450,13,10
庚申山荘入口登山口,"",36.6900,139.3369,920,20,10
川場谷野営場登山口,"",36.8053,139.1325,1140,16,10
黒檜山登山口,"",36.5603,139.1933,1360,20,10
白根火山ロープウェイ登山口,"",36.6228,138.5319,2010,17,10
鳥居峠登山口,"",36.5417,138.4131,1360,17,20
車坂峠登山口,"",36.4064,138.5231,1970,19,20
つつじヶ丘登山口,"",36.2210,140.1060,540,22,8
蓮華温泉登山口,"",36.7950,137.7460,1470,34,15
アルプス平登山口,"",36.6583,137.7528,1515,35,20
柏原新道登山口,"",36.5910,137.7420,1260,35,20
馬場島登山口,"",36.6233,137.6169,760,36,16
称名滝登山口,"",36.5740,137.5590,980,36,16
飛越新道登山口,"",36.3930,137.5400,1350,36,21
高瀬ダム登山口,"",36.4264,137.6028,1270,36,20
七倉登山口,"",36.4031,137.6053,1060,36,20
横尾登山口,"",36.2760,137.6410,1620,37,20
岳沢登山口,"",36.2500,137.6390,1510,39,20
一ノ沢登山口,"",36.3256,137.7275,1260,37,20
笠新道登山口,"",36.3156,137.5503,1110,37,21
上高地田代橋登山口,"",36.2480,137.6320,1500,39,20
三本滝登山口,"",36.1060,137.5540,1830,38,20
開田口登山口,"",35.8928,137.4803,1330,40,20
山本小屋登山口,"",36.2258,138.1075,1940,33,20
八島湿原登山口,"",36.1031,138.1967,1630,33,20
女乃神茶屋登山口,"",36.1036,138.2950,1530,33,20
桜平登山口,"",35.9940,138.3470,1880,33,20
日向大谷登山口,"",36.0233,138.8414,630,26,11
小袖乗越登山口,"",35.8556,138.9439,1210,26,19
毛木平登山口,"",35.9089,138.7289,1460,27,20
みずがき山荘登山口,"",35.8933,138.5919,1520,27,19
上日川峠登山口,"",35.7489,138.8456,1585,25,19
西丹沢ビジターセンター登山口,"",35.4864,139.1389,540,29,14
御殿場口新五合目登山口,"",35.3608,138.7275,1440,32,22
八丁池口登山口,"",34.8628,139.0017,610,31,22
北御所登山口,"",35.7894,137.8044,1360,41,20
池山林道登山口,"",35.7189,137.8172,900,41,20
恵那山広河原登山口,"",35.4436,137.5972,910,41,20
尾白川渓谷登山口,"",35.7581,138.2367,1040,42,19
戸台口登山口,"",35.7200,138.1836,930,42,20
青木鉱泉登山口,"",35.7017,138.3047,1160,42,19
芦安登山口,"",35.6744,138.2389,880,42,19
奈良田第一発電所登山口,"",35.5460,138.3130,820,42,19
塩川登山口,"",35.5739,138.1831,1290,43,20
椹島登山口,"",35.5008,138.1825,1120,43,22
椹島ロッヂ登山口,"",35.4611,138.1572,1125,43,22
西沢渡登山口,"",35.4228,138.1397,1080,43,22
光岳易老渡口,"",35.3381,138.0839,1185,43,22
中宮道登山口,"",36.1800,136.7700,820,44,17
中出コース登山口,"",35.9342,136.6014,530,45,18
弥高登山口,"",35.4178,136.4064,650,46,25
大杉谷登山口,"",34.1853,136.1092,280,52,24
天川川合登山口,"",34.1736,135.9075,820,53,29
夏山登山口,"",35.3711,133.5461,780,55,31
一宇登山口,"",33.8536,134.0942,870,56,36
面河登山口,"",33.7678,133.1150,980,56,38
男池登山口,"",33.0822,131.2408,850,58,44
神原登山口,"",32.8281,131.3469,620,59,43
砂千里登山口,"",32.8844,131.1039,1250,58,43
大浪池登山口,"",31.9342,130.8617,1060,61,46
かいもん林道登山口,"",31.1800,130.5283,190,61,46
荒川登山口,"",30.3450,130.6100,600,62,46
有峰林道太郎平口登山口,"",36.4689,137.5447,1440,36,16
御殿庭登山口,"",35.3410,138.7340,1450,32,22
